Ref,Val,Package,PosX,PosY,Rot,Side
BATTERY_CHARGER,MCP73831-2-OT,SOT-23-5,142.120386,-67.729187,0,top
BT1,Battery_Cell,18650_Holder_SMD,151.912886,-50.634187,0,top
C1,10u,C_0402_1005Metric,180.175386,-80.609187,-90,top
C2,10u,C_0402_1005Metric,180.175386,-88.589187,-90,top
C3,4.7uF,C_0201_0603Metric,144.907,-70.322,-90,top
C4,10uF,C_0402_1005Metric,140.335,-70.231,180,top
C5,100n,C1206,162.433,-74.422,90,top
C6,0.1uF,C1206,168.529,-92.133417,-90,top
C7,100nF,C1206,128.524,-92.329,-90,top
C8,10nF,C1206,187.222583,-115.19,180,top
CH340C UART,CH340C,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,121.640394,-95.134181,-90,top
EEPROM,M24C16-RMN6TP,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,186.02,-119.51,-90,top
IC2,"LM75AD,118",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,163.312886,-97.109187,-90,top
J6,USB_B_Micro,MICRO-USB-SMD_MICROXNJ,104.220837,-78.613,-90,top
Q1,FS8205A,TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL-2,159.882937,-67.729149,-90,top
R1,10k,R_1206_3216Metric,126.312886,-123.571687,-90,top
R2,1K,R0402,126.980092,-66.326761,-90,top
R3,10K,R_1206_3216Metric,130.982886,-67.816687,-90,top
R4,1K,R0402,150.982886,-66.779187,90,top
R5,100,C1206,162.433,-80.137,90,top
R6,10k,R_1206_3216Metric,140.312886,-88.109187,-90,top
R7,10k,R_1206_3216Metric,148.312886,-88.109187,-90,top
R8,10k,R_1206_3216Metric,155.312886,-88.109187,-90,top
R9,10k,R_1206_3216Metric,175.6325,-103.38,0,top
R10,LDR07,R_LDR_5.1x4.3mm_P3.4mm_Vertical,183.912886,-97.109187,0,top
R12,1k,R0402,184.852817,-86.97,0,top
R13,1k,R0402,116.922817,-72.86,0,top
SW1,SW_Push,SW_PUSH_6mm,110.112886,-118.209187,-90,top
UVL_PRO,DW01A-G,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,158.212937,-80.059149,180,top
VOLT-DIV,HT75xx-1-SOT89,SOT-89-3,185.175386,-83.109187,0,top
